Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
67,2.0,0.0,0.0,558.0,7.0,24.0,5445.0,0.0,42.599999999999994,0.0,0.0,824.5624415874481,,,,,,,,,,,,,,,,,,,,,21.428782001988793,9.910038836532909,35.956235387960554,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2.0,0.0,0.0,742.0,8.0,184.0,5629.0,0.0,302.59999999999985,0.0,0.0,843.8841607570648,,,,,,,,,,,,,,,,,,,,,73.62390138335563,23.922769901184875,103.90510894746558,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2.0,0.0,0.0,858.0,9.0,116.0,5745.0,0.0,178.29999999999995,0.0,0.0,856.0946831703186,,,,,,,,,,,,,,,,,,,,,55.10793964110378,22.02183848200244,85.2196067079833,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2.0,0.0,0.0,1021.0,10.0,163.0,5908.0,0.0,265.19999999999993,0.0,0.0,873.3383252620697,,,,,,,,,,,,,,,,,,,,,69.12023786606032,25.206951873508707,100.15028283974351,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2.0,0.0,0.0,1066.0,11.0,45.0,5953.0,0.0,72.20000000000002,0.0,0.0,878.3030068874359,,,,,,,,,,,,,,,,,,,,,29.87953614196509,15.742588636841974,53.628089468085804,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2.0,0.0,0.0,1120.0,12.0,54.0,6007.0,0.0,91.60000000000001,0.0,0.0,884.2325496673584,,,,,,,,,,,,,,,,,,,,,37.584395988767,16.88161846740284,63.03346053657523,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2.0,0.0,0.0,1166.0,13.0,46.0,6053.0,0.0,75.30000000000001,0.0,0.0,889.2806675434113,,,,,,,,,,,,,,,,,,,,,32.12948332547274,15.032092552891282,54.76117035267467,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2.0,0.0,0.0,1201.0,14.0,35.0,6088.0,0.0,61.0,0.0,0.0,893.2352495193481,,,,,,,,,,,,,,,,,,,,,29.272968559910545,13.289458457766125,47.03207143296345,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2.0,0.0,0.0,1231.0,15.0,30.0,6118.0,0.0,46.599999999999994,0.0,0.0,896.7651648521423,,,,,,,,,,,,,,,,,,,,,22.567068126422498,10.271040839271409,37.56326557562408,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2.0,0.0,0.0,1354.0,16.0,123.0,6241.0,0.0,187.2,0.0,0.0,909.8978276252747,,,,,,,,,,,,,,,,,,,,,56.809393062634605,23.25601300159447,85.931562766379,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2.0,0.0,0.0,1472.0,17.0,118.0,6359.0,0.0,187.6,0.0,0.0,922.5370223522186,,,,,,,,,,,,,,,,,,,,,57.89034833618333,23.201673246095492,87.74674270911935,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2.0,0.0,0.0,1504.0,18.0,32.0,6391.0,0.0,45.5,0.0,0.0,925.8729121685028,,,,,,,,,,,,,,,,,,,,,21.04729926294796,10.409206645690274,36.48359540702927,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
